Comment,Designator,Footprint,LCSC
1uF,"C1,C14,C17,C7",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C107185
100uF,"C11,C13,C3,C9",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C110048
1K,"R21,R29,R3,R30,R31,R32,R4,R5,R6,R7",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C112223
2.2uF,"C15,C16",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C113893
200K,R20,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C114937
10K,"R10,R11,R12,R13,R35,R36,R8",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C132649
220,"R23,R25,R27",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C137176
EL3H4(A)(TA)-VG,"U11,U12,U13,U14",SOP-4_4.4x2.6mm_P1.27mm,C142289
Conn_01x02_Socket,"J10,J11,J12,J2,J3,J4,J9",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,C158012
100uF,"C10,C12,C20,C6,C8",CP_Elec_6.3x7.7,C178560
10.2K,R16,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C229274
13K,R17,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C229313
162K,R14,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C229338
332K,R18,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C229555
53.6K,R15,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C229697
84.5K,R19,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C229820
USB_C_Plug,P1,USB_C_Receptacle_XKB_U262-16XN-4BVC11,C319148
39pF,C19,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C326958
Conn_01x04_Socket,"J5,J6,J7,J8","PhoenixContact_MC_1,5_4-G-3.5_1x04_P3.50mm_Horizontal",C441173
TPS54360DDA,U10,TI_SO-PowerPAD-8_ThermalVias,C44377
Reset,"SW1,SW2",JT1140,C465061
TB006-508-02BE,J1,"PhoenixContact_MSTBA_2,5_2-G_1x02_P5.00mm_Horizontal",C505815
6.8nF,C18,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C527325
8.2uH,L1,L_Chilisin_BMRx00060630,C5349707
UMH3N,Q3,SOT-363_SC-70-6,C62892
10uF,C21,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C70462
100nF,"C2,C22,C4,C5",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C82601
74HCT595,"U4,U5",TSSOP-16_4.4x5mm_P0.65mm,C842461
CH340C,U2,SOIC-16_3.9x9.9mm_P1.27mm,C84681
B560C-13-F,D4,D_SMC_Handsoldering,C85100
5K,"R1,R2",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C870818
TF-01A,MICRO_SD1,TF-01A,C91145
AZ1117H-3.3TRE1,U1,SOT-223,C92517
LED_RED,"D1,D2,D3",LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,C965827
DMG3415U-7,Q1,SOT-23,C96616
ESP32-WROOM-32,U3,ESP32-WROOM-32,
MountingHole,H4,MountingHole_2.5mm_Pad_Via,
MountingHole,H3,MountingHole_2.5mm_Pad_Via,
MountingHole,H2,MountingHole_2.5mm_Pad_Via,
MountingHole,H1,MountingHole_2.5mm_Pad_Via,
TMC2209,U9,TMC2209,
TMC2209,U6,TMC2209,
TMC2209,U7,TMC2209,
TMC2209,U8,TMC2209,
RS2AA-13-F,D5,D_SMA,
Jumper_2_Open,JP3,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
Jumper_2_Open,JP2,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
Jumper_2_Open,JP1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
10K,R9,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
Conn_01x03_Socket,J14,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,
Conn_02x04_Odd_Even,J18,PinHeader_2x04_P2.54mm_Vertical,
Conn_02x04_Odd_Even,J17,PinHeader_2x04_P2.54mm_Vertical,
Conn_02x04_Odd_Even,J16,PinHeader_2x04_P2.54mm_Vertical,
Conn_02x04_Odd_Even,J15,PinHeader_2x04_P2.54mm_Vertical,
BSS138,Q4,SOT-23,
LED,D7,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
LED,D8,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
LED,D6,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
