Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100.113,-88.392,-90.0,top
C2,100nF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,178.7,-57.8,-90.0,top
C3,100uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,95.8659,-122.5294,0.0,top
C4,100nF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,146.9152,-99.1432,180.0,top
C5,100nF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,115.0436,-99.094,0.0,top
C6,100uF,CP_Elec_6.3x7.7,113.2034,-131.2794,180.0,top
C7,1uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,97.663,-88.392,-90.0,top
C8,100uF,CP_Elec_6.3x7.7,135.0034,-131.2794,180.0,top
C9,100uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,117.5909,-122.5294,0.0,top
C10,100uF,CP_Elec_6.3x7.7,156.8034,-131.2794,180.0,top
C11,100uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,139.3909,-122.5294,0.0,top
C12,100uF,CP_Elec_6.3x7.7,178.2034,-131.2794,180.0,top
C13,100uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,160.8659,-122.5294,0.0,top
C14,1uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,144.6,-65.4,180.0,top
C15,2.2uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,106.299,-61.494,-90.0,top
C16,2.2uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,103.886,-61.494,-90.0,top
C17,1uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,103.886,-66.04,0.0,top
C18,6.8nF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,88.9985,-68.7475,90.0,top
C19,39pF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,92.7485,-67.31,0.0,top
C20,100uF,CP_Elec_6.3x7.7,98.1132,-77.978,90.0,top
C21,10uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,111.252,-82.042,-90.0,top
C22,100nF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,132.461,-52.1085,90.0,top
D1,LED_RED,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,105.004,-88.3798,90.0,top
D2,TX,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,160.8,-62.7625,90.0,top
D3,RX,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,165.4,-62.7125,90.0,top
D4,B560C-13-F,D_SMC_Handsoldering,111.252,-65.786,90.0,top
D5,RS2AA-13-F,D_SMA,114.808,-77.47,0.0,top
D6,LED,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,126.746,-72.771,90.0,top
D7,LED,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,126.746,-81.407,90.0,top
D8,LED,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,126.746,-89.535,90.0,top
J1,TB006-508-02BE,"PhoenixContact_MSTBA_2,5_2-G_1x02_P5.00mm_Horizontal",102.0625,-52.5,180.0,top
J2,Conn_01x02_Socket,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,124.948,-49.4114,180.0,top
J3,X_End_Stop,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,131.4196,-72.7456,90.0,top
J4,Y_End_Stop,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,131.3688,-81.3308,90.0,top
